,Abstract,Author,Date,Jornal,Keywords,Title
19,"Vowel harmony is a pervasive feature in Finnish. It is only rarely violated in slips of the tongue or in aphasic output. Thus it is a constraint which should be successfully simulated by any model aiming to account for word production in Finnish. Only a few neural network models for Finnish language processing have been developed so far, although Finnish should be a very challenging object for modeling because of its complex morphology. Our work is the first attempt to model Finnish vowel harmony using neural networks. We have introduced a tool, FinnPro, for building interactive spreading activation models and for simulating word production processes. Our tool produces Finnish nouns in different cases and forms and simulates both normal and damaged speech. In this paper, the vowel harmony control features of FinnPro are introduced. The control structure of FinnPro maintains vowel harmony even in damaged word production. The vowel harmony adjustment process in FinnPro follows the idea that the vowel harmony process in Finnish is phonological. Our model suggests that in disturbed word productions, the vowel harmony category of the output word is triggered by the whole set of vowels activated in the production.",['Anneli Tikkala'],January 2000,Computer Speech & Language,[],Regular ArticleA connectionist word production tool for Finnish nouns with a model for vowel harmony restrictions
20,This paper presents two look-ahead techniques for speeding up large vocabulary continuous speech recognition. These two techniques are the language model look-ahead and the phoneme look-ahead; both are incorporated into the pruning process of the time-synchronous one-pass beam search algorithm. The search algorithm is based on a tree-organized pronunciation lexicon in connection with a bigram language model. Both look-ahead techniques have been tested on the 20 000-word NAB’94 task (ARPA North American Business Corpus). The recognition experiments show that the combination of bigram language model look-ahead and phoneme look-ahead reduces the size of search space by a factor of about 30 and the computational effort by a factor of 5 without affecting the word recognition accuracy in comparison with no look-ahead pruning technique.,"['Stefan Ortmanns', 'Hermann Ney']",January 2000,Computer Speech & Language,[],Regular ArticleLook-ahead techniques for fast beam search☆
21,"This paper introduces a new form of observation distributions for hidden Markov models (HMMs), combining subvector quantization and mixtures of discrete distributions. Despite what is generally believed, we show that discrete-distribution HMMs can outperform continuous-density HMMs at significantly faster decoding speeds. Performance of the discrete HMMs is improved by using product-code vector quantization (VQ) and mixtures of discrete distributions. The decoding speed of the discrete HMMs is also improved by quantizing subvectors of coefficients, since this reduces the number of table lookups needed to compute the output probabilities. We present efficient training and decoding algorithms for the discrete-mixture HMMs (DMHMMs). Our experimental results in the air-travel information domain show that the high level of recognition accuracy of continuous-mixture-density HMMs (CDHMMs) can be maintained at significantly faster decoding speeds. Moreover, we show that when the same number of mixture components is used in DMHMMs and CDHMMs, the new models exhibit superior recognition performance.","['V. Digalakis', 'S. Tsakalidis', 'C. Harizakis', 'L. Neumeyer']",January 2000,Computer Speech & Language,[],Regular ArticleEfficient speech recognition using subvector quantization and discrete-mixture HMMS
22,"This paper describes the details of a fast, memory-efficient one-pass stack decoder for efficient evaluation of the search space for large vocabulary continuous speech recognition. A modern, efficient search engine is not based on a single idea, but is a rather complex collection of separate algorithms and practical implementation details, which only in combination make the search efficient in time and memory requirements. Being the core of a speech recognition system, the software design phase for a new decoder is often crucial for its later performance and flexibility. This paper tries to emphasize this point—after defining the requirements for a modern decoder, it describes the details of an implementation that is based on a stack decoder framework. It is shown how it is possible to handle arbitrary order N -grams, how to generate N -best lists or lattices next to the first-best hypothesis at little computational overhead, how to handle efficiently cross-word acoustic models of any context order, how to efficiently constrain the search with word graphs or word-pair grammars, and how to use a fast-match with delay to speed up the search, all in a single left-to-right search pass. The details of a disk-based representation of an N -gram language model are given, which make it possible to use language models (LMs) of arbitrary (file) size in only a few hundred kB of memory. On-demand N -gram smearing, an efficient improvement over the regular unigram smearing used as an approximation to the LM scores in a tree lexicon, is introduced. It is also shown how lattice rescoring, the generation of forced alignments and detailed phone-/state-alignments can efficiently be integrated into a single stack decoder. The decoder named “Nozomi""1was tested on a Japanese newspaper dictation task using a 5000 word vocabulary. Using computationally cheap models it is possible to achieve real-time performance with 89% word recognition accuracy at about 1% search error using only 4 MB of total memory on a 300 MHz Pentium II. With computationally more expensive acoustic models, which also cover for the Japanese language essential cross-word effects, more than 95% recognition accuracy2These are currently the best reported results on this task. is reached.",['Mike Schuster'],January 2000,Computer Speech & Language,[],Regular ArticleMemory-efficient LVCSR search using a one-pass stack decoder
24,"Confidence measures enable us to assess the output of a speech recognition system. The confidence measure provides us with an estimate of the probability that a word in the recognizer output is either correct or incorrect. In this paper we discuss ways in which to quantify the performance of confidence measures in terms of their discrimination power and bias. In particular, we analyze two different performance metrics: the classification equal error rate and the normalized mutual information metric. We then report experimental results of using these metrics to compare four different confidence measure estimation schemes. We also discuss the relationship between these metrics and the operating point of the speech recognition system and develop an approach to the robust estimation of normalized mutual information.","['Manhung Siu', 'Herbert Gish']",October 1999,Computer Speech & Language,[],Regular ArticleEvaluation of word confidence for speech recognition systems
25,"The Bell Labs multilingual text-to-speech system can be characterized as consisting of a set of language-independent modules. Any language-specific information is represented in, and at run-time retrieved from, precompiled tables, models and finite-state transducers. In this paper we present a detailed description of the German version of the Bell Labs text-to-speech system. We will first discuss aspects of text analysis and our solutions to the problems they pose. Some of these problems, such as the expansion of numbers and abbreviations, and proper name pronunciation, occur in many languages while others, such as productive compounding, are specific to German and several related languages. We will then report on the construction of models for segmental duration and intonation. Finally, we will explain the design and structure of the acoustic inventory for concatenative synthesis and the criteria and procedures that were used to build it.",['Bernd Möbius'],October 1999,Computer Speech & Language,[],Regular ArticleThe Bell Labs German text-to-speech system
26,"We survey the most widely-used algorithms for smoothing models for language n -gram modeling. We then present an extensive empirical comparison of several of these smoothing techniques, including those described by Jelinek and Mercer (1980); Katz (1987); Bell, Cleary and Witten (1990); Ney, Essen and Kneser (1994), and Kneser and Ney (1995). We investigate how factors such as training data size, training corpus (e.g. Brown vs. Wall Street Journal), count cutoffs, and n -gram order (bigram vs. trigram) affect the relative performance of these methods, which is measured through the cross-entropy of test data. We find that these factors can significantly affect the relative performance of models, with the most significant factor being training data size. Since no previous comparisons have examined these factors systematically, this is the first thorough characterization of the relative performance of various algorithms. In addition, we introduce methodologies for analyzing smoothing algorithm efficacy in detail, and using these techniques we motivate a novel variation of Kneser–Ney smoothing that consistently outperforms all other algorithms evaluated. Finally, results showing that improved language model smoothing leads to improved speech recognition performance are presented.","['Stanley F. Chen', 'Joshua Goodman']",October 1999,Computer Speech & Language,[],Regular ArticleAn empirical study of smoothing techniques for language modeling
27,"In this paper we introduce a set of related confidence measures for large vocabulary continuous speech recognition (LVCSR) based on local phone posterior probability estimates output by an acceptor HMM acoustic model. In addition to their computational efficiency, these confidence measures are attractive as they may be applied at the state-, phone-, word- or utterance-levels, potentially enabling discrimination between different causes of low confidence recognizer output, such as unclear acoustics or mismatched pronunciation models. We have evaluated these confidence measures for utterance verification using a number of different metrics. Experiments reveal several trends in “profitability of rejection"", as measured by the unconditional error rate of a hypothesis test. These trends suggest that crude pronunciation models can mask the relatively subtle reductions in confidence caused by out-of-vocabulary (OOV) words and disfluencies, but not the gross model mismatches elicited by non-speech sounds. The observation that a purely acoustic confidence measure can provide improved performance over a measure based upon both acoustic and language model information for data drawn from the Broadcast News corpus, but not for data drawn from the North American Business News corpus suggests that the quality of model fit offered by a trigram language model is reduced for Broadcast News data. We also argue that acoustic confidence measures may be used to inform the search for improved pronunciation models.","['Gethin Williams', 'Steve Renals']",October 1999,Computer Speech & Language,[],Regular ArticleConfidence measures from local posterior probability estimates
29,"A new system for the automatic segmentation and labeling of Mandarin speech is presented. The system is capable of labeling speech generated without requiring extensive linguistic knowledge or large training databases. In this work, a new approach using fuzzy implication was used to design a consonant/vowel segmentation method with a high accuracy rate and robustness to background noise for Mandarin syllable recognition systems. To find the abrupt spectral difference change of adjacent frames, we used the Lukasiewicz implication and the Gains implication to design a spectral distance measuring rule, which disregards small spectral differences and enhances large spectral differences. After measurement, the largest spectral difference of adjacent frames determines the segmentation of each consonant/vowel. The experimental results show that the accuracy of the obtained automatic segmentation is comparable to that of a human expert. The performance of our system appears to compare favorably with that of other systems.","['Ming-Tzaw Lin', 'Ching-Kuen Lee', 'Chin-Yi Lin']",July 1999,Computer Speech & Language,[],Regular ArticleConsonant/vowel segmentation for Mandarin syllable recognition
30,"This paper presents a new approach to speech synthesis in which a set of cross-word decision-tree state-clustered context-dependent hidden Markov models are used to define a set of subphone units to be used in a concatenation synthesizer. The models, trees, waveform segments and other parameters representing each clustered state are obtained completely automatically through training on a 1 hour single-speaker continuous-speech database. During synthesis the required utterance, specified as a string of words of known phonetic pronounciation, is generated as a sequence of these clustered states using a TD-PSOLA waveform concatenation synthesizer. The system produces speech which, though in a monotone, is both natural sounding and highly intelligible. A Modified Rhyme Test conducted to measure segmental intelligibility yielded a 5· 0 % error rate. The speech produced by the system mimics the voice of the speaker used to record the training database. The system can be retrained on a new voice in less than 48 hours, and has been successfully trained on four voices.","['R.E. Donovan', 'P.C. Woodland']",July 1999,Computer Speech & Language,[],Regular ArticleA hidden Markov-model-based trainable speech synthesizer
31,"This paper investigates low computational and memory cost approaches to open set keyword spotting for audio document retrieval. In many applications the document vocabulary will be fluid and user specific. An open, rather than pre-defined, keyword set is needed to retrieve these documents. Defining the keyword at the time of the search request raises two issues not found in a fixed keyword system, (i) how to model the new keyword and (ii) how to perform the word spotting pass to achieve a resonable retrieval response time. This paper presents Viterbi-based approaches to both of these. The keyword is modelled by one or more phonetic strings. A phone-level recognizer is used to determine the keyword phone string (KPS) from one or more spoken keyword examples. Generating multiple pronunciations using an n -best recognizer was found to give better word-spotting performance than using the 1-best KPS. A more robust KPS was created from 2 compared to 1 keyword samples. Three techniques are presented to reduce the time required to perform the word-spotting search: approximation of the full keyword plus filler recognition pass using the pre-computed Viterbi filler hypothesis; restricting the search space by dynamically matching the KPS against the filler path; and Gaussian Selection. An overall speed-up of  × 50 in retrieval time was achieved by combining these techniques.","['K.M. Knill', 'S.J. Young']",July 1999,Computer Speech & Language,[],Regular ArticleLow-cost implementation of open set keyword spotting
32,"Standard statistical language modeling techniques suffer from sparse-data problems in tasks where large amounts of domain-specific text are not available. In this paper, we focus on improving the estimation of domain-dependent n -gram models by the selective use of out-of-domain text data. Previous approaches for estimating language models from multi-domain data have not accounted for the characteristic variations of style and content across domains. In contrast, this work aims at differentially weighting subsets of the out-of-domain data according to style and/or content similarity to the given task, where “style"" is represented by part-of-speech statistics and “content"" by the particular choice of vocabulary items. In addition to n -gram estimation, the differential weights can be used for lexicon design. Recognition experiments are based on the Switchboard corpus of spontaneous conversations, with out-of-domain text drawn from the Wall Street Journal and Broadcast News corpora. The similarity weighting approach gives a 3–5% reduction in word error rate over a domain-specific n -gram language model, providing some of the largest language modeling gains reported for the Switchboard task in recent years.","['R. Iyer', 'M. Ostendorf']",July 1999,Computer Speech & Language,[],Regular ArticleRelevance weighting for combining multi-domain data for n-gram language modeling
33,"In this paper, we present a family of maximum likelihood (ML) techniques that aim at reducing an acoustic mismatch between the training and testing conditions of hidden Markov model (HMM)-based automatic speech recognition (ASR) systems. Our study is conducted in two phases. In the first phase, we evaluate two classes of robustness techniques; those that represent the acoustic mismatch for the entire utterance as a single additive bias and those that represent the mismatch as a non-stationary bias. In the second phase, we propose a codebook-based stochastic matching (CBSM) approach for bias removal both at the feature level and at the model level. CBSM associates each bias with an ensemble of HMM mixture components that share similar acoustic characteristics. It is integrated with hierarchical signal bias removal and further extended to account for n -best candidates. Experimental results on connected digits, recorded over a cellular network, shows that incorporating bias removal reduces both the word and string error rates by about 12% and 16%, respectively, when using a global bias, and 36% and 31%, respectively, when using a non-stationary bias.","['Craig Lawrence', 'Mazin Rahim']",July 1999,Computer Speech & Language,[],Regular ArticleIntegrated bias removal techniques for robust speech recognition☆
34,"While n-gram modeling is simple and dominant in speech recognition, it can only capture the short-distance context dependency within an n-word window where currently the largest practical n for natural language is three. However, many of the context dependencies in natural language occur beyond a three-word window. This paper proposes a new language modeling approach to capture the preferred relationships between words over a short or long distance through the concept of MI-Trigger pairs. Different MI-Trigger-based models are constructed in either a distance-dependent or a distance-independent way within a window from 1 to 10 words. This new MI-Trigger-based modeling is also compared and merged with word bigram modeling. It is found that the MI-Trigger-based modeling has better performance than word bigram modeling. It is also found that n-gram and MI-Trigger models have good complementarity and their proper merging can further increase the recognition rate when tested on Mandarin speech recognition. One advantage of MI-Trigger-based modeling is that the number of parameters needed for MI-Trigger modeling is much less than that of word bigram modeling. Another advantage is that the number of trigger pairs in an MI-Trigger model can be kept to a reasonable size without losing too much of its modeling power.","['Z. GuoDong', 'L. KimTeng']",April 1999,Computer Speech & Language,[],Regular ArticleInterpolation of n-gram and mutual-information based trigger pair language models for Mandarin speech recognition
35,"In this paper, we propose a POS (part-of-speech)-dependent multiple pronunciation dictionary generation method using HMM-state confusions spanning several phonemes. When used in a multi-pass search, a dictionary generated from the method makes it possible to recover missing words that are lost during the first pass of the search process in continuous speech recognition using a single pronunciation dictionary. The new pronunciations are added to a dictionary that considers the POS dependency of the confusion characteristics. Continuous word recognition experiments have confirmed that the best results are obtained when (1) confusions expressed by HMM-state sequences and (2) pronunciation variations considering the POS-dependent confusion characteristics are used.","['Y. Wakita', 'H. Singer', 'Y. Sagisaka']",April 1999,Computer Speech & Language,[],Regular ArticleMultiple pronunciation dictionary using HMM-state confusion characteristics
36,"The automatic derivation of word pronunciations from input text is a central task for any text-to-speech system. For general English text at least, this is often thought to be a solved problem, with manually-derived linguistic rules assumed capable of handling “novel” words missing from the system dictionary. Data-driven methods, based on machine learning of the regularities implicit in a large pronouncing dictionary, have received considerable attention recently but are generally thought to perform less well. However, these tentative beliefs are at best uncertain without powerful methods for comparing text-to-phoneme subsystems. This paper contributes to the development of such methods by comparing the performance of four representative approaches to automatic phonemization on the same test dictionary. As well as rule-based approaches, three data-driven techniques are evaluated: pronunciation by analogy (PbA), NETspeak and IB1-IG (a modifiedk-nearest neighbour method). Issues involved in comparative evaluation are detailed and elucidated. The data-driven techniques outperform rules in accuracy of letter-to-phoneme translation by a very significant margin but require aligned text-phoneme training data and are slower. Best translation results are obtained with PbA at approximately 72% words correct on a resonably large pronouncing dictionary, compared with something like 26% words correct for the rules, indicating that automatic pronunciation of text is not a solved problem.","['R.I. Damper', 'Y. Marchand', 'M.J. Adamson', 'K. Gustafson']",April 1999,Computer Speech & Language,[],Regular ArticleEvaluating the pronunciation component of text-to-speech systems for English: a performance comparison of different approaches
37,"We report our experience of applying a stochastic method for understanding natural language to a multilingual appointment scheduling task, in particular, to the English spontaneous speech task (ESST). The aim of the spoken language systems developed for this task is to translate spontaneous conversational speech among different languages. We have investigated the portability of a stochastic semantic analyser from a setting of human–machine interactions air travel information services (ATIS) and multimodal multimedia automated service kiosk (MASK) into the more open one of human-to-human interactions (ESST).","['W. Minker', 'M. Gavaldà', 'A. Waibel']",April 1999,Computer Speech & Language,[],Regular ArticleStochastically-based semantic analysis for machine translation
38,"A crucial issue in triphone-based continuous-speech recognition is the large number of parameters to be estimated against the limited availability of training data. This problem can be relieved by composing a triphone model from less context-dependent models. This paper introduces a new statistical framework, derived from Bayesian statistics, to perform such a composition. The potential power of this new framework is explored, both algorithmically and experimentally, by an implementation with hidden Markov modelling techniques. In particular, we describe an implementation based on the mixture-Gaussian hidden Markov models (HMMs) incorporating state-level parameter tying. This implemented model is applied to the recognition of the 39-phone set on the TIMIT database, achieving 74.4% and 75.6% accurate, respectively, on the core and complete test sets.","['Ji Ming', 'F.J. Smith']",April 1999,Computer Speech & Language,[],Regular ArticleA Bayesian triphone model
40,"“Segmental hidden Markov models” (SHMMs) are intended to overcome important speech-modelling limitations of the conventional-HMM approach by representing sequences (or segments) of features and incorporating the concept of trajectories to describe how features change over time. A novel feature of the approach presented in this paper is thatextra-segmentalvariability between different examples of a sub-phonemic speech segment is modelled separately fromintra-segmentalvariability within any one example. The extra-segmental component of the model is represented in terms of variability in the trajectory parameters, and these models are therefore referred to as “probabilistic-trajectory segmental HMMs” (PTSHMMs). This paper presents the theory of PTSHMMs using a linear trajectory description characterized by slope and mid-point parameters, and presents theoretical and experimental comparisons between different types of PTSHMMs, simpler SHMMs and conventional HMMs.Experiments have demonstrated that, for any given feature set, a linear PTSHMM can substantially reduce the error rate in comparison with a conventional HMM, both for a connected-digit recognition task and for a phonetic classification task. Performance benefits have been demonstrated from incorporating a linear trajectory description and additionally from modelling variability in the mid-point parameter.","['W.J. Holmes', 'M.J. Russell']",January 1999,Computer Speech & Language,[],Regular ArticleProbabilistic-trajectory segmental HMMs☆
